ID do bug,Título,Etapas para reprodução,Resultado esperado,Resultado real,Prioridade
BUG-1,"Não é possivel pesquisar objetos no campo ""Para""","1. Abra o app Urban Routes 2. Clique no campo ""Para""   3. Digite ""Subway""",A lista de estações de metrô é exibida.,Não aparece nenhuma lista de metrô,Crítico
BUG-2,"O pino de endereço não aparece depois de preencher o campo ""De""","1. Abra o app Urban Routes 2. Clique no campo ""De"".     3. Insira um endereço (exemplo: East 2nd Street, 601).",O mapa recebe zoom no pino de endereço. A visualização corresponde à descrição do projeto.,O pino de endereço não aparece,Bloqueador
BUG-3,"O pino de endereço não aparece depois de preencher o campo ""Para""","1. Abra o app Urban Routes 2. Clique no campo ""Para"".       3. Insira um endereço (exemplo: 1300 1st St).",O mapa recebe zoom no pino de endereço. A visualização corresponde à descrição do projeto.,O pino de endereço não aparece no endereço digitado,Bloqueador
BUG-4,"O pino não some do mapa ao remover o endereço do campo ""De""","1. Abra o app Urban Routes 2. Clique na cruz no campo ""De"" preenchido.",O campo está vazio. O endereço inserido anteriormente foi removido do campo. O pino correspondente some do mapa.,O pino correspondente não some do mapa,Crítico
BUG-5,"O pino não some do mapa ao remover o endereço do campo ""Para""","1. Abra o app Urban Routes 2. Clique na cruz no campo ""Para"" preenchido.",O campo está vazio. O endereço inserido anteriormente foi removido do campo. O pino correspondente some do mapa.,O pino correspondente não some do mapa,Crítico
BUG-6,Não é possível exibir os objetos 3D,1. Abra o app Urban Routes 2. Amplie com o zoom um objeto 3D várias vezes (por exemplo: Los Angeles International Airport LAX).,O objeto é mapeado como um objeto 3D.,O objeto não é mapeado como um objeto 3D.,Pequeno
BUG-7,Não é possivel exibir as estações de metrô,"1. Abra o app Urban Routes 2. Aumente o zoom em uma estação de Metrô, LA (exemplo: Downtown Long Beach Station).",O ícone do metrô é exibido.,Não aparece nenhum marcador de estação de metrô no mapa,Crítico
BUG-8,As informações do aplicativo não são exibidas ao clicar no logotipo do aplicativo,1. Abra o app Urban Routes 2. Clique no logotipo do Urban Routes.,As informações sobre o aplicativo são exibidas.,Não aparece nenhuma informação sobre o aplicativo,Pequeno
